x_water,T_water,,x_rxn,T_rxn
0.01981,321.7800758,,0.01475,321.8832002
0.01983,321.7775157,,0.01476,321.8808969
0.01984,321.775025,,0.01477,321.8785938
0.01989,321.7726268,,0.01478,321.8762909
0.01991,321.7701593,,0.01479,321.8739882
0.01992,321.7677611,,0.0148,321.8716857
0.01994,321.7652241,,0.01481,321.8693833
0.01996,321.7628028,,0.01482,321.8670812
0.01999,321.760104,,0.01483,321.8647793
0.02000,321.7574977,,0.01484,321.8624776
0.02002,321.755192,,0.01485,321.860176
0.02003,321.7528863,,0.01486,321.8578747
0.02008,321.7506963,,0.01487,321.8555736
0.02010,321.7481825,,0.01488,321.8532726
0.02012,321.7457149,,0.01489,321.8509719
0.02013,321.7430392,,0.0149,321.8486713
0.02015,321.7407566,,0.01491,321.846371
0.02017,321.7387516,,0.01492,321.8440709
0.02019,321.7365616,,0.01493,321.8417709
0.02021,321.7341634,,0.01494,321.8394712
0.02022,321.7313952,,0.01495,321.8371716
0.02022,321.7288814,,0.01496,321.8348723
0.02027,321.7266913,,0.01497,321.8325731
0.02028,321.7242469,,0.01498,321.8302742
0.02031,321.7220338,,0.01499,321.8279754
0.02032,321.7196587,,0.015,321.8256768
0.02034,321.7169136,,0.01501,321.8233785
0.02036,321.7146542,,0.01502,321.8210803
0.02037,321.7124179,,0.01503,321.8187823
0.02040,321.7099735,,0.01504,321.8164846
0.02041,321.707691,,0.01505,321.814187
0.02041,321.7052697,,0.01506,321.8118896
0.02046,321.7029409,,0.01507,321.8095925
0.02047,321.7007971,,0.01508,321.8072955
0.02049,321.6983989,,0.01509,321.8049987
0.02051,321.6959776,,0.0151,321.8027021
0.02053,321.6932326,,0.01511,321.8004057
0.02055,321.6906956,,0.01512,321.7981095
0.02056,321.6882975,,0.01513,321.7958136
0.02059,321.6857605,,0.01514,321.7935178
0.02060,321.6832005,,0.01515,321.7912222
0.02064,321.6805479,,0.01516,321.7889268
0.02067,321.678011,,0.01517,321.7866316
0.02068,321.6755666,,0.01518,321.7843366
0.02070,321.6731453,,0.01519,321.7820418
0.02072,321.6705853,,0.0152,321.7797472
0.02074,321.6681408,,0.01521,321.7774528
0.02076,321.6658814,,0.01522,321.7751585
0.02078,321.6633445,,0.01523,321.7728645
0.02079,321.6606226,,0.01524,321.7705707
0.02083,321.6580394,,0.01525,321.7682771
0.02085,321.6557569,,0.01526,321.7659837
0.02087,321.653405,,0.01527,321.7636904
0.02089,321.6505212,,0.01528,321.7613974
0.02091,321.6477299,,0.01529,321.7591046
0.02093,321.6450773,,0.0153,321.756812
0.02095,321.642656,,0.01531,321.7545195
0.02096,321.6403735,,0.01532,321.7522273
0.02098,321.6380679,,0.01533,321.7499352
0.02103,321.6356697,,0.01534,321.7476434
0.02104,321.6330634,,0.01535,321.7453518
0.02106,321.6307346,,0.01536,321.7430603
0.02108,321.6282209,,0.01537,321.7407691
0.02110,321.6257996,,0.01538,321.738478
0.02112,321.623332,,0.01539,321.7361871
0.02114,321.6207951,,0.0154,321.7338965
0.02116,321.618397,,0.01541,321.731606
0.02117,321.6159526,,0.01542,321.7293158
0.02121,321.6133925,,0.01543,321.7270257
0.02124,321.61111,,0.01544,321.7247358
0.02125,321.6087581,,0.01545,321.7224462
0.02127,321.606545,,0.01546,321.7201567
0.02129,321.6039618,,0.01547,321.7178674
0.02131,321.6014712,,0.01548,321.7155783
0.02133,321.5990036,,0.01549,321.7132894
0.02135,321.5967211,,0.0155,321.7110007
0.02136,321.5947624,,0.01551,321.7087122
0.02140,321.5925724,,0.01552,321.706424
0.02142,321.590128,,0.01553,321.7041359
0.02144,321.5877992,,0.01554,321.701848
0.02146,321.5856786,,0.01555,321.6995603
0.02148,321.5832804,,0.01556,321.6972727
0.02150,321.5806742,,0.01557,321.6949854
0.02152,321.5781141,,0.01558,321.6926983
0.02154,321.5756004,,0.01559,321.6904114
0.02156,321.5732485,,0.0156,321.6881247
0.02159,321.5709197,,0.01561,321.6858382
0.02161,321.5685909,,0.01562,321.6835518
0.02163,321.5662159,,0.01563,321.6812657
0.02165,321.5639565,,0.01564,321.6789798
0.02167,321.5617897,,0.01565,321.676694
0.02169,321.5593222,,0.01566,321.6744085
0.02171,321.5567159,,0.01567,321.6721232
0.02172,321.5542484,,0.01568,321.669838
0.02175,321.551804,,0.01569,321.6675531
0.02175,321.549614,,0.0157,321.6652683
0.02180,321.5474008,,0.01571,321.6629838
0.02182,321.5449333,,0.01572,321.6606994
0.02184,321.5421883,,0.01573,321.6584153
0.02186,321.539582,,0.01574,321.6561313
0.02187,321.5370451,,0.01575,321.6538475
0.02189,321.5345314,,0.01576,321.6515639
0.02191,321.532087,,0.01577,321.6492806
0.02193,321.5295039,,0.01578,321.6469974
0.02194,321.5272214,,0.01579,321.6447144
0.02195,321.5248464,,0.0158,321.6424316
0.02199,321.5222632,,0.01581,321.640149
0.02201,321.5199113,,0.01582,321.6378666
0.02203,321.5176751,,0.01583,321.6355844
0.02205,321.5153695,,0.01584,321.6333024
0.02207,321.513087,,0.01585,321.6310206
0.02209,321.5106888,,0.01586,321.628739
0.02210,321.5084063,,0.01587,321.6264576
0.02212,321.5063089,,0.01588,321.6241764
0.02214,321.5040726,,0.01589,321.6218954
0.02216,321.5018364,,0.0159,321.6196146
0.02220,321.4993226,,0.01591,321.617334
0.02222,321.4967164,,0.01592,321.6150535
0.02224,321.494087,,0.01593,321.6127733
0.02226,321.491527,,0.01594,321.6104933
0.02228,321.4891057,,0.01595,321.6082134
0.02229,321.4864995,,0.01596,321.6059338
0.02231,321.4838932,,0.01597,321.6036543
0.02233,321.4812407,,0.01598,321.6013751
0.02235,321.4789813,,0.01599,321.599096
0.02239,321.4766757,,0.016,321.5968172
0.02241,321.4743007,,0.01601,321.5945385
0.02243,321.4718101,,0.01602,321.59226
0.02244,321.4693195,,0.01603,321.5899818
0.02246,321.4671526,,0.01604,321.5877037
0.02248,321.4647545,,0.01605,321.5854258
0.02250,321.4624027,,0.01606,321.5831481
0.02252,321.4600277,,0.01607,321.5808706
0.02254,321.4575833,,0.01608,321.5785933
0.02255,321.4553471,,0.01609,321.5763163
0.02260,321.4527408,,0.0161,321.5740394
