Time,Conductivity_out (microS),Conductivity_out @25*C (microS),Temperature_out,Conductivity_in (microS),Conductivity_in @25*C (microS),Temperature_in
12:40:47,46.41,46.63,24.75,4.35,4.37,24.75
12:40:48,46.41,46.41,25.00,3.46,3.49,24.50
12:40:49,44.27,44.48,24.75,4.35,4.37,24.75
12:40:50,44.27,44.69,24.50,3.91,3.95,24.50
12:40:51,42.78,43.19,24.50,3.46,3.53,24.00
12:40:52,42.78,42.58,25.25,3.90,3.92,24.75
12:40:53,42.04,42.65,24.25,4.35,4.37,24.75
12:40:54,40.65,40.65,25.00,4.35,4.41,24.25
12:40:55,40.65,40.84,24.75,3.91,3.95,24.50
12:40:56,39.91,40.10,24.75,3.91,3.95,24.50
12:40:57,39.16,39.35,24.75,3.46,3.48,24.75
12:40:58,37.67,38.03,24.50,3.90,3.90,25.00
12:40:59,37.67,37.85,24.75,3.91,3.95,24.50
12:41:00,37.02,37.20,24.75,3.90,3.94,24.50
12:41:01,36.28,36.63,24.50,3.46,3.51,24.25
12:41:02,35.54,35.54,25.00,3.46,3.49,24.50
12:41:03,34.79,34.79,25.00,3.91,3.97,24.25
12:41:04,35.53,35.70,24.75,4.35,4.41,24.25
12:41:05,34.05,34.21,24.75,4.35,4.39,24.50
12:41:06,33.31,33.63,24.50,3.90,3.94,24.50
12:41:06,33.31,33.47,24.75,3.91,3.95,24.50
12:41:07,32.66,32.82,24.75,3.46,3.48,24.75
12:41:08,31.91,32.06,24.75,4.35,4.37,24.75
12:41:09,31.18,31.33,24.75,3.46,3.48,24.75
12:41:11,31.91,32.22,24.50,4.80,4.82,24.75
12:41:11,31.92,32.23,24.50,4.35,4.37,24.75
12:41:12,29.69,29.69,25.00,4.35,4.41,24.25
12:41:13,31.17,31.32,24.75,3.90,3.94,24.50
12:41:14,29.68,29.82,24.75,4.35,4.39,24.50
12:41:15,30.43,30.72,24.50,3.46,3.49,24.50
12:41:16,29.69,29.83,24.75,4.35,4.43,24.00
12:41:17,29.69,29.83,24.75,3.91,3.93,24.75
12:41:18,29.04,29.32,24.50,4.35,4.35,25.00
12:41:19,29.03,29.31,24.50,4.35,4.41,24.25
12:41:20,28.29,28.43,24.75,3.91,3.95,24.50
12:41:21,28.29,28.70,24.25,4.35,4.37,24.75
12:41:22,29.03,29.03,25.00,4.35,4.37,24.75
12:41:23,29.03,29.17,24.75,4.35,4.37,24.75
12:41:24,27.55,27.55,25.00,3.91,3.97,24.25
12:41:25,27.55,27.55,25.00,4.35,4.39,24.50
12:41:26,26.81,27.07,24.50,4.35,4.39,24.50
12:41:27,26.06,26.06,25.00,4.80,4.85,24.50
12:41:28,26.07,26.19,24.75,3.90,3.96,24.25
12:41:29,26.81,26.81,25.00,4.80,4.85,24.50
12:41:30,25.41,25.53,24.75,4.35,4.39,24.50
12:41:31,26.07,26.07,25.00,3.91,3.95,24.50
12:41:32,25.41,25.53,24.75,4.80,4.85,24.50
12:41:33,24.67,24.79,24.75,3.91,3.93,24.75
12:41:34,24.67,24.79,24.75,4.35,4.39,24.50
12:41:35,26.06,25.94,25.25,4.80,4.85,24.50
12:41:36,25.41,25.53,24.75,4.35,4.37,24.75
12:41:37,25.41,25.41,25.00,4.80,4.89,24.00
12:41:38,24.67,24.91,24.50,4.80,4.85,24.50
12:41:39,23.93,24.04,24.75,4.80,4.85,24.50
12:41:40,23.93,23.93,25.00,5.24,5.29,24.50
12:41:41,23.93,24.04,24.75,4.35,4.37,24.75
12:41:42,23.19,23.30,24.75,4.35,4.39,24.50
12:41:43,23.18,23.18,25.00,4.35,4.37,24.75
12:41:44,23.19,23.30,24.75,3.91,3.93,24.75
12:41:45,23.18,23.29,24.75,4.35,4.43,24.00
12:41:46,22.45,22.56,24.75,4.80,4.85,24.50
12:41:47,22.45,22.45,25.00,4.80,4.87,24.25
12:41:48,23.93,24.04,24.75,4.80,4.85,24.50
12:41:49,22.45,22.45,25.00,4.35,4.39,24.50
12:41:50,24.66,24.78,24.75,4.35,4.39,24.50
12:41:51,23.93,24.04,24.75,4.80,4.85,24.50
12:41:52,22.44,22.66,24.50,5.24,5.37,23.75
12:41:53,23.18,23.29,24.75,4.80,4.85,24.50
12:41:54,22.44,22.55,24.75,4.80,4.85,24.50
12:41:54,22.44,22.44,25.00,5.24,5.29,24.50
12:41:55,23.92,24.03,24.75,5.24,5.24,25.00
12:41:56,23.19,23.30,24.75,6.98,7.01,24.75
12:41:57,26.07,26.19,24.75,7.42,7.49,24.50
12:41:58,26.07,26.07,25.00,8.26,8.30,24.75
12:41:59,26.07,26.32,24.50,12.62,12.74,24.50
12:42:00,26.07,26.45,24.25,15.69,15.92,24.25
12:42:01,24.67,24.79,24.75,15.25,15.40,24.50
12:42:02,23.93,24.04,24.75,16.12,16.27,24.50
12:42:03,24.67,24.91,24.50,15.68,15.91,24.25
